0.000000000000000000e+00,0.000000000000000000e+00,1.308211330021272724e-18
4.351216973266526111e+03,3.970653933453681475e+03,6.163714972416274577e+03
3.517399500579691448e+03,4.190096863968336947e+03,7.887476439845008827e+03
3.648696252437633120e+03,3.186058371607636218e+03,9.099160691758172106e+03
3.779488075992712311e+03,1.995728461087936466e+03,9.883623851440806902e+03
3.812463232337360296e+03,6.705562509331017509e+02,1.015231287933247222e+04
3.812463232337360751e+03,-6.705562509331026604e+02,1.015231287933247040e+04
3.779488075992712766e+03,-1.995728461087936466e+03,9.883623851440806902e+03
3.648696252437632211e+03,-3.186058371607634854e+03,9.099160691758172106e+03
3.517399500579690539e+03,-4.190096863968334219e+03,7.887476439845012465e+03
4.351216973269854861e+03,-3.970653933453864738e+03,6.163714972415579723e+03
5.073787728626393800e+03,-3.932907315947824372e+03,7.184998008387675327e+03
5.771011294573928353e+03,-3.152578662593077752e+03,8.360719222376787002e+03
6.094498142827490483e+03,-1.896340182367396210e+03,8.939477207706922854e+03
6.284711245559105919e+03,-6.133541327740678071e+02,9.275523272886892300e+03
6.284711245559107738e+03,6.133541327740881570e+02,9.275523272886739505e+03
6.094498142827486845e+03,1.896340182257153629e+03,8.939477207706930130e+03
5.771011294573885607e+03,3.152578662839760455e+03,8.360719222376781545e+03
5.073787728626396529e+03,3.932907315948010819e+03,7.184998008387683512e+03
3.835047992809808875e+03,4.275235906816543320e+03,6.528178369580263279e+03
3.835047992809740663e+03,-4.275235906548663479e+03,6.528178369580261460e+03
5.520664519828451375e+02,0.000000000000000000e+00,7.918966702452304389e+02
1.254468456502937670e+03,0.000000000000000000e+00,1.809395737589576356e+03
1.420467198774973667e+03,5.114845762695523490e+02,2.037259310065760474e+03
2.737055048907636319e+03,1.005357712960815206e+03,3.972044553682999776e+03
4.409799332117337144e+03,2.631588607092620350e+03,6.294683237714364623e+03
4.546324509550004223e+03,1.184934265253614512e+03,6.653218543359544128e+03
1.420467198774972076e+03,-5.114845762695497342e+02,2.037259310065849149e+03
2.737055048907642686e+03,-1.005357712960804861e+03,3.972044553682994319e+03
4.409799332117337144e+03,-2.631588607092616712e+03,6.294683237714385541e+03
4.546324509550003313e+03,-1.184934265253809599e+03,6.653218543359544128e+03
2.098328889061369409e+03,1.592432816784313445e+03,5.039871871235022809e+03
2.745588878733762158e+03,2.493270599026953278e+03,6.550983434312891404e+03
2.840532156173745989e+03,1.469647722945567693e+03,7.212116842316443581e+03
2.098328889061369409e+03,-1.592432816784312763e+03,5.039871871235022809e+03
2.745588878733762158e+03,-2.493270599026953278e+03,6.550983434312891404e+03
2.840532156173745989e+03,-1.469647722945567693e+03,7.212116842316442671e+03
